Company,Year,Revenue,EBITDA,NetProfit,Assets,Borrowings,Deposits,OtherLiabilities,EquityCapital,Reserves,CFO,CFI,CFF
Reliance,2022,694673,108581,67845,1498622,319158,,399979,6765,772720,110654,-109162,17289
Reliance,2023,876396,142318,74088,1605882,451664,,438346,6766,709106,115032,-93001,10455
Reliance,2024,899041,162498,79020,1755048,350719,,610848,6766,786715,158788,-113581,-16646
Reliance,2025,962820,165598,81309,1949713,374313,,732200,13532,829668,178703,-137535,-31891
Reliance,2026,1055780,179065,95754,2177546,402962,,870554,13532,890498,192113,-101089,-51549
TCS,2022,191754,53057,38449,140924,7818,,43967,366,88773,39949,-738,-33581
TCS,2023,225458,59259,42303,142859,7688,,44747,366,90058,41965,548,-47878
TCS,2024,240893,64296,46099,145472,8021,,46962,362,90127,44338,6091,-48536
TCS,2025,255324,67407,48797,158649,9392,,54501,362,94394,48908,-2144,-47438
TCS,2026,267021,72398,49454,181167,11283,,62644,362,106878,52094,-11886,-42133
Infosys,2022,121641,31491,22146,116729,5474,,35905,2098,73252,23885,-6485,-24642
Infosys,2023,146767,35130,24108,124596,8299,,40890,2069,73338,22467,-1071,-26695
Infosys,2024,153670,36425,26248,136020,8359,,39545,2071,86045,25210,-5093,-17504
Infosys,2025,162990,39236,26750,147795,8227,,43750,2073,93745,35694,-1864,-24161
Infosys,2026,178650,42280,29474,154288,9176,,52260,2024,90828,33986,3546,-39786
HDFC Bank,2022,135936,20795,38151,2122934,226966,1558003,90639,555,246772,-11960,-2051,48124
HDFC Bank,2023,170754,29932,46149,2530432,256549,1882663,101783,558,288880,20814,-2992,23941
HDFC Bank,2024,283649,-44685,65446,4030194,730615,2376887,466296,760,455636,19069,16600,-3983
HDFC Bank,2025,336367,-34501,73440,4392110,634606,2710898,524817,765,521024,127242,-3651,-102478
HDFC Bank,2026,348615,-40511,79219,4907701,588485,3099638,633519,1539,584520,113506,7477,-59005
Tata Motors Passenger Vehicles,2022,278454,24720,-11309,329061,146449,,138051,766,43795,14283,-4444,-3380
Tata Motors Passenger Vehicles,2023,345967,31816,2690,334674,134113,,155239,766,44556,35388,-15417,-26243
Tata Motors Passenger Vehicles,2024,434016,57809,31807,369521,107264,,177339,767,84151,67915,-22781,-37006
Tata Motors Passenger Vehicles,2025,366094,47993,28149,376973,71540,,189289,736,115408,63102,-49982,-18786
Tata Motors Passenger Vehicles,2026,335582,18719,82645,379189,79109,,188012,737,111331,13041,-23166,-1344
